uav_count,seed,generated_packets,delivered_packets,dropped_packets,transmission_attempts,transmission_successes,packet_delivery_ratio,avg_delivery_latency_steps,avg_hops_per_delivered,avg_total_queue_length,avg_success_rate,peak_total_queue_length,router
8,8,20,4,16,37,12,0.2,6.75,1.5,4.97,0.32432432432432434,17,gpsr
8,9,20,5,15,88,21,0.25,27.4,1.6,5.85,0.23863636363636365,20,gpsr
8,10,20,7,13,42,26,0.35,23.0,2.142857142857143,5.49,0.6190476190476191,20,gpsr
8,11,20,5,15,52,27,0.25,15.2,1.6,5.3,0.5192307692307693,18,gpsr
8,12,20,2,18,14,7,0.1,0.5,1.0,5.28,0.5,18,gpsr
8,13,20,5,15,43,16,0.25,9.6,1.2,4.93,0.37209302325581395,17,gpsr
8,14,20,14,6,80,33,0.7,10.071428571428571,1.9285714285714286,3.21,0.4125,12,gpsr
8,15,20,7,13,54,23,0.35,10.571428571428571,1.2857142857142858,4.65,0.42592592592592593,16,gpsr
8,16,20,12,8,76,45,0.6,26.0,3.0833333333333335,5.52,0.5921052631578947,19,gpsr
8,17,20,18,2,94,51,0.9,14.666666666666666,2.6666666666666665,3.25,0.5425531914893617,17,gpsr
8,18,20,14,6,74,36,0.7,14.142857142857142,1.5714285714285714,3.86,0.4864864864864865,14,gpsr
8,19,20,5,15,24,15,0.25,6.6,1.4,4.76,0.625,16,gpsr
8,8,20,3,17,9,4,0.15,8.333333333333334,1.0,5.19,0.4444444444444444,18,aodv
8,9,20,4,16,6,6,0.2,24.5,1.5,5.62,1.0,20,aodv
8,10,20,5,15,13,8,0.25,20.6,1.4,5.39,0.6153846153846154,19,aodv
8,11,20,2,18,7,6,0.1,19.0,1.0,5.64,0.8571428571428571,19,aodv
8,12,20,2,18,3,2,0.1,0.5,1.0,5.23,0.6666666666666666,18,aodv
8,13,20,5,15,7,5,0.25,16.0,1.0,5.15,0.7142857142857143,19,aodv
8,14,20,14,6,78,33,0.7,13.357142857142858,2.142857142857143,3.64,0.4230769230769231,14,aodv
8,15,20,4,16,28,4,0.2,10.25,1.0,5.05,0.14285714285714285,18,aodv
8,16,20,3,17,29,11,0.15,22.333333333333332,1.3333333333333333,5.67,0.3793103448275862,20,aodv
8,17,20,10,10,90,44,0.5,10.6,2.0,4.2,0.4888888888888889,16,aodv
8,18,20,13,7,46,26,0.65,17.46153846153846,1.6153846153846154,4.35,0.5652173913043478,18,aodv
8,19,20,5,15,18,8,0.25,17.8,1.6,5.24,0.4444444444444444,18,aodv
8,8,20,4,16,37,12,0.2,6.75,1.5,4.97,0.32432432432432434,17,slar-geo
8,9,20,5,15,88,21,0.25,27.4,1.6,5.85,0.23863636363636365,20,slar-geo
8,10,20,7,13,42,26,0.35,23.0,2.142857142857143,5.49,0.6190476190476191,20,slar-geo
8,11,20,5,15,52,27,0.25,15.2,1.6,5.3,0.5192307692307693,18,slar-geo
8,12,20,2,18,14,7,0.1,0.5,1.0,5.28,0.5,18,slar-geo
8,13,20,5,15,43,16,0.25,9.6,1.2,4.93,0.37209302325581395,17,slar-geo
8,14,20,14,6,80,33,0.7,10.071428571428571,1.9285714285714286,3.21,0.4125,12,slar-geo
8,15,20,7,13,54,23,0.35,10.571428571428571,1.2857142857142858,4.65,0.42592592592592593,16,slar-geo
8,16,20,12,8,76,45,0.6,26.0,3.0833333333333335,5.52,0.5921052631578947,19,slar-geo
8,17,20,18,2,94,51,0.9,14.666666666666666,2.6666666666666665,3.25,0.5425531914893617,17,slar-geo
8,18,20,14,6,74,36,0.7,14.142857142857142,1.5714285714285714,3.86,0.4864864864864865,14,slar-geo
8,19,20,5,15,24,15,0.25,6.6,1.4,4.76,0.625,16,slar-geo
8,8,20,5,15,31,15,0.25,11.4,1.6,4.99,0.4838709677419355,17,slar-default
8,9,20,5,15,88,21,0.25,27.4,1.6,5.85,0.23863636363636365,20,slar-default
8,10,20,7,13,42,26,0.35,23.0,2.142857142857143,5.49,0.6190476190476191,20,slar-default
8,11,20,5,15,52,27,0.25,15.2,1.6,5.3,0.5192307692307693,18,slar-default
8,12,20,2,18,14,7,0.1,0.5,1.0,5.28,0.5,18,slar-default
8,13,20,5,15,43,16,0.25,9.6,1.2,4.93,0.37209302325581395,17,slar-default
8,14,20,14,6,83,33,0.7,10.214285714285714,2.0,3.22,0.39759036144578314,12,slar-default
