uav_count,seed,generated_packets,delivered_packets,dropped_packets,transmission_attempts,transmission_successes,packet_delivery_ratio,avg_delivery_latency_steps,avg_hops_per_delivered,avg_total_queue_length,avg_success_rate,peak_total_queue_length,router
8,2,20,8,12,79,31,0.4,16.0,1.625,4.94,0.3924050632911392,18,gpsr
8,3,20,11,9,76,30,0.55,12.272727272727273,1.6363636363636365,4.08,0.39473684210526316,15,gpsr
8,4,20,7,13,44,22,0.35,19.285714285714285,1.2857142857142858,5.25,0.5,18,gpsr
8,2,20,4,16,10,6,0.2,18.5,1.25,5.39,0.6,19,aodv
8,3,20,12,8,57,28,0.6,11.083333333333334,1.4166666666666667,3.76,0.49122807017543857,14,aodv
8,4,20,6,14,11,7,0.3,16.5,1.1666666666666667,5.05,0.6363636363636364,18,aodv
8,2,20,8,12,79,31,0.4,16.0,1.625,4.94,0.3924050632911392,18,slar-geo
8,3,20,11,9,76,30,0.55,12.272727272727273,1.6363636363636365,4.08,0.39473684210526316,15,slar-geo
8,4,20,7,13,44,22,0.35,19.285714285714285,1.2857142857142858,5.25,0.5,18,slar-geo
8,2,20,8,12,79,31,0.4,16.0,1.625,4.94,0.3924050632911392,18,slar-default
8,3,20,13,7,75,32,0.65,14.615384615384615,1.7692307692307692,4.02,0.4266666666666667,15,slar-default
8,4,20,7,13,44,22,0.35,19.285714285714285,1.2857142857142858,5.25,0.5,18,slar-default
8,2,20,8,12,79,31,0.4,16.0,1.625,4.94,0.3924050632911392,18,slar-tuned
8,3,20,13,7,75,32,0.65,14.615384615384615,1.7692307692307692,4.02,0.4266666666666667,15,slar-tuned
8,4,20,7,13,44,22,0.35,19.285714285714285,1.2857142857142858,5.25,0.5,18,slar-tuned
16,2,20,11,9,114,34,0.55,9.0,1.7272727272727273,3.75,0.2982456140350877,13,gpsr
16,3,20,14,6,113,45,0.7,9.928571428571429,2.142857142857143,3.28,0.39823008849557523,14,gpsr
16,4,20,13,7,143,47,0.65,10.615384615384615,2.8461538461538463,3.51,0.32867132867132864,14,gpsr
16,2,20,10,10,39,17,0.5,3.1,1.5,3.23,0.4358974358974359,13,aodv
16,3,20,11,9,93,36,0.55,9.636363636363637,1.9090909090909092,3.82,0.3870967741935484,14,aodv
16,4,20,13,7,196,59,0.65,12.384615384615385,2.923076923076923,3.85,0.3010204081632653,14,aodv
16,2,20,11,9,114,34,0.55,9.0,1.7272727272727273,3.75,0.2982456140350877,13,slar-geo
16,3,20,14,6,113,45,0.7,9.928571428571429,2.142857142857143,3.28,0.39823008849557523,14,slar-geo
16,4,20,13,7,143,47,0.65,10.615384615384615,2.8461538461538463,3.51,0.32867132867132864,14,slar-geo
16,2,20,12,8,107,36,0.6,9.25,1.8333333333333333,3.57,0.3364485981308411,13,slar-default
16,3,20,13,7,102,45,0.65,7.6923076923076925,1.8461538461538463,3.24,0.4411764705882353,13,slar-default
16,4,20,15,5,135,53,0.75,13.666666666666666,3.066666666666667,3.57,0.3925925925925926,14,slar-default
16,2,20,9,11,106,32,0.45,4.111111111111111,2.0,3.7,0.3018867924528302,12,slar-tuned
16,3,20,13,7,84,47,0.65,6.538461538461538,2.0,3.09,0.5595238095238095,11,slar-tuned
16,4,20,17,3,153,62,0.85,13.470588235294118,3.235294117647059,3.23,0.40522875816993464,14,slar-tuned
24,2,20,20,0,141,57,1.0,11.15,2.85,2.23,0.40425531914893614,12,gpsr
24,3,20,18,2,134,53,0.9,7.833333333333333,2.6666666666666665,2.04,0.39552238805970147,9,gpsr
24,4,20,19,1,163,55,0.95,11.631578947368421,2.736842105263158,2.53,0.3374233128834356,10,gpsr
24,2,20,14,6,160,48,0.7,10.0,2.5714285714285716,3.26,0.3,12,aodv
24,3,20,19,1,185,61,0.95,11.789473684210526,3.1052631578947367,2.55,0.32972972972972975,10,aodv
24,4,20,16,4,171,53,0.8,10.625,2.5625,2.98,0.30994152046783624,12,aodv
24,2,20,20,0,141,57,1.0,11.15,2.85,2.23,0.40425531914893614,12,slar-geo
24,3,20,18,2,134,53,0.9,7.833333333333333,2.6666666666666665,2.04,0.39552238805970147,9,slar-geo
24,4,20,19,1,163,55,0.95,11.631578947368421,2.736842105263158,2.53,0.3374233128834356,10,slar-geo
24,2,20,19,1,115,69,0.95,10.052631578947368,3.4210526315789473,2.24,0.6,12,slar-default
24,3,20,19,1,135,63,0.95,9.736842105263158,3.1578947368421053,2.17,0.4666666666666667,10,slar-default
24,4,20,19,1,117,62,0.95,9.368421052631579,3.0526315789473686,2.11,0.5299145299145299,8,slar-default
24,2,20,19,1,95,66,0.95,4.7368421052631575,3.1578947368421053,1.25,0.6947368421052632,7,slar-tuned
24,3,20,20,0,110,65,1.0,7.9,3.25,1.58,0.5909090909090909,8,slar-tuned
24,4,20,19,1,100,62,0.95,5.2105263157894735,3.0526315789473686,1.32,0.62,6,slar-tuned
