w_geo,w_link,w_ld,avg_pdr,avg_delivered,avg_dropped,avg_attempts,avg_successes,avg_success_rate,delta_pdr_vs_best_baseline
0.30000000000000004,0.4,0.30000000000000004,0.79,15.8,4.2,103.4,58.25,0.5633462282398453,0.007500000000000062
0.2,0.30000000000000004,0.5,0.79,15.8,4.2,106.85,58.25,0.5451567618156294,0.007500000000000062
0.1,0.9,0.0,0.7875,15.75,4.25,107.3,62.65,0.5838769804287046,0.0050000000000000044
0.30000000000000004,0.5,0.2,0.7875,15.75,4.25,104.35,58.35,0.5591758505031146,0.0050000000000000044
0.4,0.6000000000000001,0.0,0.785,15.7,4.3,104.15,57.5,0.5520883341334614,0.0025000000000000577
0.2,0.8,0.0,0.7825,15.65,4.35,101.85,60.55,0.5945017182130584,0.0
0.4,0.5,0.1,0.7825,15.65,4.35,98.5,56.35,0.5720812182741117,0.0
0.30000000000000004,0.6000000000000001,0.1,0.78,15.6,4.4,101.3,57.8,0.5705824284304047,-0.0024999999999999467
0.2,0.4,0.4,0.7775,15.55,4.45,100.95,58.6,0.5804853888063398,-0.0050000000000000044
0.1,0.8,0.1,0.7775,15.55,4.45,107.5,62.25,0.5790697674418605,-0.0050000000000000044
0.0,0.5,0.5,0.775,15.5,4.5,113.9,70.55,0.6194029850746268,-0.007499999999999951
0.0,0.9,0.1,0.775,15.5,4.5,115.4,69.95,0.6061525129982669,-0.007499999999999951
0.2,0.6000000000000001,0.2,0.775,15.5,4.5,100.75,59.55,0.5910669975186104,-0.007499999999999951
0.2,0.7000000000000001,0.1,0.775,15.5,4.5,101.85,60.0,0.5891016200294551,-0.007499999999999951
0.5,0.5,0.0,0.775,15.5,4.5,113.2,53.7,0.47438162544169615,-0.007499999999999951
0.0,0.6000000000000001,0.4,0.7725,15.45,4.55,114.55,71.0,0.6198166739415103,-0.010000000000000009
0.30000000000000004,0.7000000000000001,0.0,0.7725,15.45,4.55,101.9,58.2,0.5711481844946026,-0.010000000000000009
0.1,0.30000000000000004,0.6000000000000001,0.7725,15.45,4.55,105.25,59.85,0.568646080760095,-0.010000000000000009
0.0,0.8,0.2,0.77,15.4,4.6,115.7,70.25,0.6071737251512532,-0.012499999999999956
0.4,0.4,0.2,0.77,15.4,4.6,114.45,53.7,0.4692005242463958,-0.012499999999999956
0.5,0.4,0.1,0.77,15.4,4.6,116.3,53.35,0.4587274290627687,-0.012499999999999956
0.1,0.4,0.5,0.7675,15.35,4.65,108.2,61.35,0.5670055452865065,-0.015000000000000013
0.1,0.2,0.7000000000000001,0.7675,15.35,4.65,109.4,58.55,0.5351919561243144,-0.015000000000000013
0.0,0.30000000000000004,0.7000000000000001,0.765,15.3,4.7,115.05,70.3,0.611038678835289,-0.01749999999999996
0.30000000000000004,0.30000000000000004,0.4,0.765,15.3,4.7,115.7,54.8,0.473638720829732,-0.01749999999999996
0.0,0.4,0.6000000000000001,0.7625,15.25,4.75,114.5,70.0,0.611353711790393,-0.020000000000000018
0.2,0.5,0.30000000000000004,0.7625,15.25,4.75,101.7,58.9,0.5791543756145526,-0.020000000000000018
0.1,0.7000000000000001,0.2,0.7625,15.25,4.75,110.05,62.15,0.5647432985006815,-0.020000000000000018
0.0,0.7000000000000001,0.30000000000000004,0.76,15.2,4.8,114.55,70.25,0.6132693147097338,-0.022499999999999964
0.0,0.2,0.8,0.76,15.2,4.8,113.75,69.5,0.610989010989011,-0.022499999999999964
0.0,1.0,0.0,0.76,15.2,4.8,117.15,69.7,0.5949637217242851,-0.022499999999999964
0.1,0.1,0.8,0.76,15.2,4.8,115.05,54.7,0.475445458496306,-0.022499999999999964
0.0,0.1,0.9,0.755,15.1,4.9,114.5,69.05,0.603056768558952,-0.02749999999999997
0.5,0.30000000000000004,0.2,0.755,15.1,4.9,123.3,52.35,0.42457420924574213,-0.02749999999999997
0.4,0.2,0.4,0.7525000000000001,15.05,4.95,120.45,51.7,0.4292237442922375,-0.029999999999999916
0.1,0.6000000000000001,0.30000000000000004,0.7525,15.05,4.95,106.55,61.3,0.5753167526982638,-0.030000000000000027
0.2,0.2,0.6000000000000001,0.7525,15.05,4.95,117.95,54.4,0.4612123781263247,-0.030000000000000027
0.30000000000000004,0.2,0.5,0.7475,14.95,5.05,119.95,52.85,0.4406002501042101,-0.03499999999999992
0.4,0.30000000000000004,0.30000000000000004,0.745,14.9,5.1,117.25,51.95,0.4430703624733476,-0.03749999999999998
0.1,0.5,0.4,0.7425,14.85,5.15,108.1,60.8,0.5624421831637373,-0.039999999999999925
0.5,0.2,0.30000000000000004,0.735,14.7,5.3,121.95,51.1,0.4190241902419024,-0.04749999999999999
0.6000000000000001,0.30000000000000004,0.1,0.735,14.7,5.3,123.0,51.1,0.41544715447154473,-0.04749999999999999
0.30000000000000004,0.0,0.7000000000000001,0.7325,14.65,5.35,120.7,51.05,0.4229494614747307,-0.04999999999999993
0.2,0.1,0.7000000000000001,0.7325,14.65,5.35,128.65,52.8,0.41041585697629224,-0.04999999999999993
0.6000000000000001,0.1,0.30000000000000004,0.7325,14.65,5.35,128.45,49.6,0.38614246788633716,-0.04999999999999993
0.4,0.0,0.6000000000000001,0.73,14.6,5.4,124.8,51.65,0.41386217948717946,-0.05249999999999999
0.5,0.1,0.4,0.73,14.6,5.4,126.9,49.85,0.39282899921197795,-0.05249999999999999
0.0,0.0,1.0,0.7275,14.55,5.45,121.9,51.65,0.42370795734208366,-0.05499999999999994
0.1,0.0,0.9,0.7275,14.55,5.45,121.9,51.65,0.42370795734208366,-0.05499999999999994
0.4,0.1,0.5,0.7275,14.55,5.45,124.15,51.55,0.4152235199355618,-0.05499999999999994
0.30000000000000004,0.1,0.6000000000000001,0.7275,14.55,5.45,123.95,51.2,0.41306978620411455,-0.05499999999999994
0.5,0.0,0.5,0.7275,14.55,5.45,130.35,49.2,0.37744533947065595,-0.05499999999999994
0.6000000000000001,0.4,0.0,0.7225,14.45,5.55,116.65,50.8,0.43549078439777106,-0.05999999999999994
0.7000000000000001,0.1,0.2,0.7225,14.45,5.55,125.55,49.65,0.3954599761051374,-0.05999999999999994
0.8,0.1,0.1,0.7225,14.45,5.55,124.7,49.25,0.3949478748997594,-0.05999999999999994
0.6000000000000001,0.2,0.2,0.72,14.4,5.6,120.2,50.15,0.4172212978369384,-0.0625
0.9,0.1,0.0,0.72,14.4,5.6,120.75,49.1,0.40662525879917183,-0.0625
0.7000000000000001,0.30000000000000004,0.0,0.7175,14.35,5.65,120.05,50.45,0.4202415660141608,-0.06499999999999995
0.8,0.2,0.0,0.7175,14.35,5.65,120.3,48.3,0.4014962593516209,-0.06499999999999995
0.9,0.0,0.1,0.7175,14.35,5.65,122.75,48.95,0.39877800407331976,-0.06499999999999995
0.7000000000000001,0.2,0.1,0.715,14.3,5.7,117.85,48.7,0.4132371658888418,-0.0675
1.0,0.0,0.0,0.715,14.3,5.7,123.35,48.5,0.39319010944466964,-0.0675
0.8,0.0,0.2,0.71,14.2,5.8,126.6,49.0,0.38704581358609796,-0.07250000000000001
0.6000000000000001,0.0,0.4,0.71,14.2,5.8,128.55,48.2,0.3749513807856865,-0.07250000000000001
0.7000000000000001,0.0,0.30000000000000004,0.7025,14.05,5.95,128.6,48.45,0.3767496111975117,-0.07999999999999996
0.2,0.0,0.8,0.6975,13.95,6.05,124.0,50.05,0.4036290322580645,-0.08499999999999996
