w_geo,w_link,w_ld,avg_pdr,avg_delivered,avg_dropped,avg_attempts,avg_successes,avg_success_rate,delta_pdr_vs_best_baseline
0.2,0.0,0.8,0.4375,3.5,4.25,41.25,15.25,0.3696969696969697,0.0
0.4,0.6000000000000001,0.0,0.4375,3.5,4.25,43.75,15.0,0.34285714285714286,0.0
0.6000000000000001,0.2,0.2,0.4375,3.5,4.25,46.5,14.5,0.3118279569892473,0.0
0.6000000000000001,0.4,0.0,0.4375,3.5,4.25,46.5,14.5,0.3118279569892473,0.0
0.8,0.0,0.2,0.4375,3.5,4.25,46.5,14.5,0.3118279569892473,0.0
0.8,0.2,0.0,0.4375,3.5,4.25,46.5,14.5,0.3118279569892473,0.0
1.0,0.0,0.0,0.4375,3.5,4.25,46.5,14.5,0.3118279569892473,0.0
0.4,0.0,0.6000000000000001,0.40625,3.25,4.5,39.5,14.75,0.37341772151898733,-0.03125
0.2,0.2,0.6000000000000001,0.40625,3.25,4.5,43.5,15.5,0.3563218390804598,-0.03125
0.4,0.2,0.4,0.40625,3.25,4.5,39.75,13.5,0.33962264150943394,-0.03125
0.4,0.4,0.2,0.40625,3.25,4.5,39.75,13.5,0.33962264150943394,-0.03125
0.6000000000000001,0.0,0.4,0.40625,3.25,4.5,39.75,13.5,0.33962264150943394,-0.03125
0.0,0.0,1.0,0.40625,3.25,4.5,43.5,14.0,0.3218390804597701,-0.03125
0.2,0.4,0.4,0.375,3.0,4.75,43.5,16.25,0.3735632183908046,-0.0625
0.0,0.2,0.8,0.3125,2.5,5.25,48.0,16.5,0.34375,-0.125
0.0,0.4,0.6000000000000001,0.3125,2.5,5.25,48.0,16.5,0.34375,-0.125
0.0,0.6000000000000001,0.4,0.3125,2.5,5.25,48.0,16.5,0.34375,-0.125
0.0,0.8,0.2,0.3125,2.5,5.25,48.0,16.5,0.34375,-0.125
0.0,1.0,0.0,0.3125,2.5,5.25,48.0,16.5,0.34375,-0.125
0.2,0.6000000000000001,0.2,0.28125,2.25,5.5,44.5,14.5,0.3258426966292135,-0.15625
0.2,0.8,0.0,0.25,2.0,5.75,42.0,13.75,0.3273809523809524,-0.1875
